ind1,ind2,values
1,2,0.119538489
1,3,0.049061168
2,3,0.167032914
1,4,0.166153589
2,4,0.28997437
3,4,0.119011719
1,5,0
2,5,0
3,5,0.286850679
4,5,0
1,6,0.248875904
2,6,0
3,6,0
4,6,0
5,6,0
1,7,0
2,7,0
3,7,0.195892279
4,7,0
5,7,0.278705546
6,7,0.04566751
1,8,0
2,8,0
3,8,0.117806382
4,8,0
5,8,0.167241114
6,8,0
7,8,0.168492415
1,9,0
2,9,0
3,9,0.117760799
4,9,0
5,9,0.167176404
6,9,0
7,9,0.168427221
8,9,0.406978883
1,10,0
2,10,0
3,10,0.288880205
4,10,0
5,10,0.274902754
6,10,0
7,10,0.276460352
8,10,0.166155791
9,10,0.166091501
1,11,0
2,11,0
3,11,0.167006414
4,11,0
5,11,0.238127988
6,11,0
7,11,0.239046602
8,11,0
9,11,0
10,11,0.23583952
1,12,0
2,12,0
3,12,0
4,12,0
5,12,0
6,12,0
7,12,0
8,12,0.288149135
9,12,0.28826001
10,12,0
11,12,0
1,13,0
2,13,0
3,13,0.236047947
4,13,0
5,13,0.335840659
6,13,0
7,13,0.337740671
8,13,0.202664462
9,13,0.202586046
10,13,0.333131923
11,13,0.288571102
12,13,0
1,14,0
2,14,0
3,14,0.236049978
4,14,0
5,14,0.335840056
6,14,0
7,14,0.337742118
8,14,0.202944728
9,14,0.202866203
10,14,0.333134505
11,14,0.288175877
12,14,0
13,14,0.406977307
1,15,0
2,15,0
3,15,0.236049852
4,15,0
5,15,0.335840257
6,15,0
7,15,0.33774208
8,15,0.202900456
9,15,0.202821949
10,15,0.333134373
11,15,0.28823838
12,15,0
13,15,0.406977631
14,15,0.406978925
1,16,0.194108024
2,16,0.167774787
3,16,0.068858382
4,16,0.235711933
5,16,0
6,16,0.139031923
7,16,0.090218471
8,16,0
9,16,0
10,16,0
11,16,0
12,16,0
13,16,0
14,16,0
15,16,0
1,17,0.107182873
2,17,0.18352534
3,17,0.075322748
4,17,0.130762649
5,17,0
6,17,0.116416404
7,17,0
8,17,0
9,17,0
10,17,0
11,17,0
12,17,0
13,17,0
14,17,0
15,17,0
16,17,0.150785907
1,18,0.119538489
2,18,0.406978944
3,18,0.167032914
4,18,0.28997437
5,18,0
6,18,0
7,18,0
8,18,0
9,18,0
10,18,0
11,18,0
12,18,0
13,18,0
14,18,0
15,18,0
16,18,0.167774787
17,18,0.18352534
1,19,0.205533512
2,19,0.12550202
3,19,0.199267739
4,19,0.089420766
5,19,0.143349567
6,19,0.191979252
7,19,0.073810317
8,19,0
9,19,0
10,19,0.138371196
11,19,0.125662714
12,19,0
13,19,0.089101976
14,19,0.088979942
15,19,0.088999241
16,19,0.102345984
17,19,0.112080656
18,19,0.12550202
1,20,0
2,20,0
3,20,0
4,20,0
5,20,0
6,20,0
7,20,0
8,20,0
9,20,0
10,20,0
11,20,0
12,20,0
13,20,0
14,20,0
15,20,0
16,20,0
17,20,0
18,20,0
19,20,0
1,21,0
2,21,0
3,21,0.236049495
4,21,0
5,21,0.335840586
6,21,0
7,21,0.337741882
8,21,0.202802575
9,21,0.202724105
10,21,0.333133968
11,21,0.288376474
12,21,0
13,21,0.406978208
14,21,0.406978745
15,21,0.40697885
16,21,0
17,21,0
18,21,0
19,21,0.089041881
20,21,0
1,22,0.138791777
2,22,0.097119904
3,22,0.119683678
4,22,0.069198378
5,22,0.113567573
6,22,0.183435896
7,22,0.114211797
8,22,0.068893597
9,22,0.06886694
10,22,0.112653813
11,22,0.097075669
12,22,0
13,22,0.137623149
14,22,0.137624907
15,22,0.137624743
16,22,0.079959447
17,22,0.13065412
18,22,0.097119904
19,22,0.224024015
20,22,0
21,22,0.137624334
1,23,0
2,23,0
3,23,0.2313616
4,23,0
5,23,0.328822417
6,23,0
7,23,0.183146836
8,23,0
9,23,0
10,23,0.180689712
11,23,0.311809099
12,23,0
13,23,0.221090296
14,23,0.220787492
15,23,0.220835379
16,23,0
17,23,0
18,23,0
19,23,0.174840748
20,23,0
21,23,0.220941181
22,23,0.074375044
1,24,0
2,24,0
3,24,0.167006414
4,24,0
5,24,0.238127988
6,24,0
7,24,0.239046602
8,24,0
9,24,0
10,24,0.23583952
11,24,0.406978944
12,24,0
13,24,0.288571102
14,24,0.288175877
15,24,0.28823838
16,24,0
17,24,0
18,24,0
19,24,0.125662714
20,24,0
21,24,0.288376474
22,24,0.097075669
23,24,0.311809099
1,25,0
2,25,0
3,25,0
4,25,0
5,25,0
6,25,0
7,25,0
8,25,0.288149135
9,25,0.28826001
10,25,0
11,25,0
