,ind1,ind2,values
1,1,3,0.119538489
2,1,4,0.049061168
3,2,4,0.167032914
4,1,5,0.166153589
5,2,5,0.28997437
6,3,5,0.119011719
7,1,6,0
8,2,6,0
9,3,6,0.286850679
10,4,6,0
11,1,7,0.248875904
12,2,7,0
13,3,7,0
14,4,7,0
15,5,7,0
16,1,8,0
17,2,8,0
18,3,8,0.195892279
19,4,8,0
20,5,8,0.278705546
21,6,8,0.04566751
22,1,9,0
23,2,9,0
24,3,9,0.117806382
25,4,9,0
26,5,9,0.167241114
27,6,9,0
28,7,9,0.168492415
29,1,10,0
30,2,10,0
31,3,10,0.117760799
32,4,10,0
33,5,10,0.167176404
34,6,10,0
35,7,10,0.168427221
36,8,10,0.406978883
37,1,11,0
38,2,11,0
39,3,11,0.288880205
40,4,11,0
41,5,11,0.274902754
42,6,11,0
43,7,11,0.276460352
44,8,11,0.166155791
45,9,11,0.166091501
46,1,12,0
47,2,12,0
48,3,12,0.167006414
49,4,12,0
50,5,12,0.238127988
51,6,12,0
52,7,12,0.239046602
53,8,12,0
54,9,12,0
55,10,12,0.23583952
56,1,13,0
57,2,13,0
58,3,13,0
59,4,13,0
60,5,13,0
61,6,13,0
62,7,13,0
63,8,13,0.288149135
64,9,13,0.28826001
65,10,13,0
66,11,13,0
67,1,14,0
68,2,14,0
69,3,14,0.236047947
70,4,14,0
71,5,14,0.335840659
72,6,14,0
73,7,14,0.337740671
74,8,14,0.202664462
75,9,14,0.202586046
76,10,14,0.333131923
77,11,14,0.288571102
78,12,14,0
79,1,15,0
80,2,15,0
81,3,15,0.236049978
82,4,15,0
83,5,15,0.335840056
84,6,15,0
85,7,15,0.337742118
86,8,15,0.202944728
87,9,15,0.202866203
88,10,15,0.333134505
89,11,15,0.288175877
90,12,15,0
91,13,15,0.406977307
92,1,16,0
93,2,16,0
94,3,16,0.236049852
95,4,16,0
96,5,16,0.335840257
97,6,16,0
98,7,16,0.33774208
99,8,16,0.202900456
100,9,16,0.202821949
101,10,16,0.333134373
102,11,16,0.28823838
103,12,16,0
104,13,16,0.406977631
105,14,16,0.406978925
106,1,17,0.194108024
107,2,17,0.167774787
108,3,17,0.068858382
109,4,17,0.235711933
110,5,17,0
111,6,17,0.139031923
112,7,17,0.090218471
113,8,17,0
114,9,17,0
115,10,17,0
116,11,17,0
117,12,17,0
118,13,17,0
119,14,17,0
120,15,17,0
121,1,18,0.107182873
122,2,18,0.18352534
123,3,18,0.075322748
124,4,18,0.130762649
125,5,18,0
126,6,18,0.116416404
127,7,18,0
128,8,18,0
129,9,18,0
130,10,18,0
131,11,18,0
132,12,18,0
133,13,18,0
134,14,18,0
135,15,18,0
136,16,18,0.150785907
137,1,19,0.119538489
138,2,19,0.406978944
139,3,19,0.167032914
140,4,19,0.28997437
141,5,19,0
142,6,19,0
143,7,19,0
144,8,19,0
145,9,19,0
146,10,19,0
147,11,19,0
148,12,19,0
149,13,19,0
150,14,19,0
151,15,19,0
152,16,19,0.167774787
153,17,19,0.18352534
154,1,20,0.205533512
155,2,20,0.12550202
156,3,20,0.199267739
157,4,20,0.089420766
158,5,20,0.143349567
159,6,20,0.191979252
160,7,20,0.073810317
161,8,20,0
162,9,20,0
163,10,20,0.138371196
164,11,20,0.125662714
165,12,20,0
166,13,20,0.089101976
167,14,20,0.088979942
168,15,20,0.088999241
169,16,20,0.102345984
170,17,20,0.112080656
171,18,20,0.12550202
172,1,21,0
173,2,21,0
174,3,21,0
175,4,21,0
176,5,21,0
177,6,21,0
178,7,21,0
179,8,21,0
180,9,21,0
181,10,21,0
182,11,21,0
183,12,21,0
184,13,21,0
185,14,21,0
186,15,21,0
187,16,21,0
188,17,21,0
189,18,21,0
190,19,21,0
191,1,22,0
192,2,22,0
193,3,22,0.236049495
194,4,22,0
195,5,22,0.335840586
196,6,22,0
197,7,22,0.337741882
198,8,22,0.202802575
199,9,22,0.202724105
200,10,22,0.333133968
