,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z
A,1,0.130218351,0.240251221,0.241970994,0.21929811,0.313416027,0.239068469,0.179372681,0.192833509,0.18793841,0.187726609,0.134847928,0,0.187865691,0,0,0.267970762,0.309139444,0.187878911,0,0,0.267970762,0.267970762,0.10243638,0.063463228,0
B,0.130218351,1,0.12438531,0.124966425,0.151382503,0.108067306,0.20625874,0.184193452,0.129347366,0.065284941,0.065211368,0.252509717,0,0.065259681,0,0.162103896,0.091714917,0.159002234,0.065264273,0,0.153284313,0.091714917,0.091714917,0.139376924,0.195181389,0.065088838
C,0.240251221,0.12438531,1,0.30103125,0.34409588,0.290541979,0.228069065,0.281373456,0.122602657,0.119622709,0.119487899,0.171862456,0,0.119576424,0,0.043194817,0.170374577,0.196658629,0.119584838,0,0.057483767,0.170374577,0.170374577,0.130094479,0.080924793,0.120459326
D,0.241970994,0.124966425,0.30103125,1,0.274674547,0.290214216,0.228924326,0.281223948,0.123057993,0.120896101,0.120759855,0.129874508,0,0.120849323,0,0,0.171007333,0.198067548,0.120857826,0,0,0.171007333,0.171007333,0.06537046,0.080541255,0
E,0.21929811,0.151382503,0.34409588,0.274674547,1,0.26543366,0.277455341,0.308696851,0.111672274,0.109425425,0.109302107,0.195427744,0,0.109383086,0,0.078585193,0.155185187,0.179508825,0.109390783,0,0.104303907,0.155185187,0.155185187,0.177364764,0.11026542,0.109155699
F,0.313416027,0.108067306,0.290541979,0.290214216,0.26543366,1,0.198398633,0.21700302,0.159630466,0.15635741,0.1561812,0.111908106,0,0.156296911,0,0,0.221830208,0.256549379,0.156307909,0,0,0.221830208,0.221830208,0.084798369,0.05253581,0
G,0.239068469,0.20625874,0.228069065,0.228924326,0.277455341,0.198398633,1,0.283373597,0.121641399,0.119387273,0.119252727,0.170260847,0,0.119341079,0,0.085674383,0.169038766,0.195691817,0.119349476,0,0.113714113,0.169038766,0.169038766,0.193309864,0.159925469,0.119043423
H,0.179372681,0.184193452,0.281373456,0.281223948,0.308696851,0.21700302,0.283373597,1,0.091263665,0.089579909,0.089478955,0.189972033,0,0.089545248,0,0.064298184,0.126824398,0.14682755,0.089551549,0,0.08534165,0.126824398,0.126824398,0.192252918,0.119995612,0.089559083
I,0.192833509,0.129347366,0.122602657,0.123057993,0.111672274,0.159630466,0.121641399,0.091263665,1,0,0,0.133714752,0,0,0,0,0.271772273,0.308099496,0,0,0,0.271772273,0.271772273,0.103889572,0.064363536,0
J,0.18793841,0.065284941,0.119622709,0.120896101,0.109425425,0.15635741,0.119387273,0.089579909,0,1,0.377667402,0.067333741,0,0.377667826,0,0,0,0.154189072,0.377667845,0,0,0,0,0,0,0
K,0.187726609,0.065211368,0.119487899,0.120759855,0.109302107,0.1561812,0.119252727,0.089478955,0,0.377667402,1,0.067257858,0,0.377667675,0,0,0,0.154015306,0.377667634,0,0,0,0,0,0,0
L,0.134847928,0.252509717,0.171862456,0.129874508,0.195427744,0.111908106,0.170260847,0.189972033,0.133714752,0.067333741,0.067257858,1,0,0.067307687,0,0.095203609,0.095358104,0.164232844,0.067312424,0,0.125508811,0.095358104,0.095358104,0.178168793,0.156882531,0.067212013
M,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.377667882,0.096027946,0,0,0,0.377667882,0.127791008,0,0,0,0,0
N,0.187865691,0.065259681,0.119576424,0.120849323,0.109383086,0.156296911,0.119341079,0.089545248,0,0.377667826,0.377667675,0.067307687,0,1,0,0,0,0.154129412,0.37766788,0,0,0,0,0,0,0
O,0,0,0,0,0,0,0,0,0,0,0,0,0.377667882,0,1,0.096027946,0,0,0,0.377667882,0.127791008,0,0,0,0,0
P,0,0.162103896,0.043194817,0,0.078585193,0,0.085674383,0.064298184,0,0,0,0.095203609,0.096027946,0,0.096027946,1,0,0,0,0.096027946,0.221723329,0,0,0.143401113,0.157113484,0.067670155
Q,0.267970762,0.091714917,0.170374577,0.171007333,0.155185187,0.221830208,0.169038766,0.126824398,0.271772273,0,0,0.095358104,0,0,0,0,1,0.218854103,0,0,0,0.377667882,0.377667882,0.144369969,0.089442679,0
R,0.309139444,0.159002234,0.196658629,0.198067548,0.179508825,0.256549379,0.195691817,0.14682755,0.308099496,0.154189072,0.154015306,0.164232844,0,0.154129412,0,0,0.218854103,1,0.154140257,0,0,0.218854103,0.218854103,0.083660702,0.051830982,0
S,0.187878911,0.065264273,0.119584838,0.120857826,0.109390783,0.156307909,0.119349476,0.089551549,0,0.377667845,0.377667634,0.067312424,0,0.37766788,0,0,0,0.154140257,1,0,0,0,0,0,0,0
T,0,0,0,0,0,0,0,0,0,0,0,0,0.377667882,0,0.377667882,0.096027946,0,0,0,1,0.127791008,0,0,0,0,0
U,0,0.153284313,0.057483767,0,0.104303907,0,0.113714113,0.08534165,0,0,0,0.125508811,0.127791008,0,0.127791008,0.221723329,0,0,0,0.127791008,1,0,0,0.188434681,0.237135418,0.178382662
V,0.267970762,0.091714917,0.170374577,0.171007333,0.155185187,0.221830208,0.169038766,0.126824398,0.271772273,0,0,0.095358104,0,0,0,0,0.377667882,0.218854103,0,0,0,1,0.377667882,0.144369969,0.089442679,0
W,0.267970762,0.091714917,0.170374577,0.171007333,0.155185187,0.221830208,0.169038766,0.126824398,0.271772273,0,0,0.095358104,0,0,0,0,0.377667882,0.218854103,0,0,0,0.377667882,1,0.144369969,0.089442679,0
X,0.10243638,0.139376924,0.130094479,0.06537046,0.177364764,0.084798369,0.193309864,0.192252918,0.103889572,0,0,0.178168793,0,0,0,0.143401113,0.144369969,0.083660702,0,0,0.188434681,0.144369969,0.144369969,1,0.202183989,0.202407783
Y,0.063463228,0.195181389,0.080924793,0.080541255,0.11026542,0.05253581,0.159925469,0.119995612,0.064363536,0,0,0.156882531,0,0,0,0.157113484,0.089442679,0.051830982,0,0,0.237135418,0.089442679,0.089442679,0.202183989,1,0.126280354
Z,0,0.065088838,0.120459326,0,0.109155699,0,0.119043423,0.089559083,0,0,0,0.067212013,0,0,0,0.067670155,0,0,0,0,0.178382662,0,0,0.202407783,0.126280354,1
